,case_id,prompt,subject,target_false,target_true
2053,2053,{}'s headquarters are in,Ericsson,Madrid,Stockholm
2054,2054,The profession of {} is,Subagio Sastrowardoyo,actor,poet
2055,2055,"{}, in",Irvine High School,Alberta,Irvine
2056,2056,{} passed away in,Alexander Ivashkin,Hamburg,London
2057,2057,{}'s headquarters are in,EDP Renewables North America,Luxembourg,Houston
2058,2058,{} was employed in,Galina Starovoytova,Berlin,Moscow
2059,2059,{}'s profession is an,James Broughton,actor,poet
2060,2060,The official language of {} is,Khanty-Mansi Autonomous Okrug,Ukrainian,Russian
2061,2061,"{}, speaker of",Kim Philby,French,English
2062,2062,{} is a twin city of,Guangzhou,Dresden,Birmingham
2063,2063,{} plays the instrument,Bert Joris,guitar,trumpet
2064,2064,{} plays in the position of,Glenn Foley,midfielder,quarterback
2065,2065,{} is affiliated with the,Italy,FIFA,NATO
2066,2066,{} writes in,Shulamit Aloni,Spanish,Hebrew
2067,2067,{} is located in the country of,Neryungri,Canada,Russia
2068,2068,{} found employment in,Jacques Laffitte,London,Paris
2069,2069,{} is affiliated with,Denmark,FIFA,NATO
2070,2070,{} is developed by,Bentley T-series,Nokia,Bentley
2071,2071,"{}, the",Marcus Marek,midfielder,linebacker
2072,2072,The original language of {} is,Early Doors,Greek,English
2073,2073,{} can be found in,Kunstnernes Frie Studieskoler,Shanghai,Copenhagen
2074,2074,{} is a native speaker of,Lindsey Davis,Spanish,English
2075,2075,"{}, located in",New England,Singapore,Australia
2076,2076,{} was originally from,Alexander Zonjic,Miami,Windsor
2077,2077,"{}, by",CAMI Automotive,Intel,Suzuki
2078,2078,"{}, who works as",Georg Joseph Kamel,politician,missionary
2079,2079,{} worked in the city of,Francis Palmer Smith,Munich,Atlanta
2080,2080,"{}, developed by",Android Runtime,Nintendo,Google
2081,2081,{} was developed by,IBM Network Control Program,Boeing,IBM
2082,2082,{} died in,Carlo Alberto Castigliano,Berlin,Milan
2083,2083,{} has a citizenship from,Mahito Tsujimura,Brazil,Japan
2084,2084,"{}, who has the position of",Gundulf,cardinal,bishop
2085,2085,{} was native to,Robert Pinget,Lincoln,Geneva
2086,2086,{} is a native speaker of,Isabelle Autissier,Russian,French
2087,2087,{} is employed by,Michaela Pereira,Apple,CNN
2088,2088,{} worked in the city of,Janet Ross,Helsinki,Florence
2089,2089,{} is a native speaker of,Xavier Beauvois,Dutch,French
2090,2090,{} speaks,Karl Lachmann,English,German
2091,2091,The original language of {} is,The Wardstone Chronicles,Portuguese,English
2092,2092,"{}, speaker of",Jean-Claude Izzo,Russian,French
2093,2093,{} is located in,Parkland County,Massachusetts,Alberta
2094,2094,The headquarter of {} is located in,RPG Group,Japan,Mumbai
2095,2095,{} worked in the city of,Cedric Drewe,Oslo,London
2096,2096,{} is a part of the continent of,Charlotte Bay,Europe,Antarctica
2097,2097,{} is located in the country of,Lower Assam,Romania,India
2098,2098,"{}, a product manufactured by",Airbus A350,Adobe,Airbus
2099,2099,"{}, produced by",Cadillac Fleetwood,Toyota,Cadillac
2100,2100,{}'s area of work is,Marcos Moshinsky,astronomy,physics
2101,2101,{} is located in the continent,Grossglockner,Antarctica,Europe
2102,2102,{} plays as,Jamal Mahmoud,linebacker,midfielder
2103,2103,{} was created in,Miami Horror,Philadelphia,Melbourne
2104,2104,{} works as,Ross Garnaut,politician,economist
2105,2105,{} found employment in,Ilja Richter,Ottawa,Berlin
2106,2106,{} speaks,Basarab Nicolescu,Russian,French
2107,2107,{} succumbed at,Pachomius the Great,Rome,Egypt
2108,2108,{} is located in,Redland Bay,Virginia,Queensland
2109,2109,"{}, who has the position of",Gaetano Alibrandi,cardinal,bishop
2110,2110,{} performs on the,Raimonds Pauls,guitar,piano
2111,2111,{} holds a citizenship from,Mohammad Gharib,Jamaica,Iran
2112,2112,"{}, which has the capital",Kingdom of Libya,Berlin,Tripoli
2113,2113,"{}, who plays",Snub Mosley,sitcom,jazz
2114,2114,"{}, which is located in",Bad Vilbel,Romania,Germany
2115,2115,"{}, in",Dawa River,Malta,Somalia
2116,2116,{} is located in,Schofield Barracks,Louisiana,Hawaii
2117,2117,{} was released on,Bob the Builder,CNN,BBC
2118,2118,{} plays as,Glen Trifiro,goaltender,midfielder
2119,2119,"{}, created by",Dodge Caliber,Triumph,Dodge
2120,2120,"In {}, the language spoken is",Aragon,Ukrainian,Catalan
2121,2121,{} performs,Dudu Pukwana,sitcom,jazz
2122,2122,{} is in,Svarthamaren Mountain,Europe,Antarctica
2123,2123,{} is affiliated with the religion,Talha ibn Ubaydullah,Christianity,Islam
2124,2124,"{}, which was named after",Airship Italia,Bermuda,Italy
2125,2125,The profession of {} is,Cyril Wong,actor,poet
2126,2126,{} owner,Freesat,Toronto,BBC
2127,2127,"{}, who holds the position of",Pope Celestine V,cardinal,pope
2128,2128,{} found employment in,Agostino Steffani,Berlin,Munich
2129,2129,{} is located in the continent,Moldova,Antarctica,Europe
2130,2130,{} is owned by,Renault Trucks,BBC,Volvo
2131,2131,{} is a professional,Jesse Hibbs,baseball,football
2132,2132,"{}, who is a citizen of",Prince Aly Khan,Ireland,Pakistan
2133,2133,Where is {}? It is located in,Sinagua,Paris,Arizona
2134,2134,{} was started in,Your Vegas,Venice,Leeds
2135,2135,{} is in,River Clyde,Asia,Europe
2136,2136,{} can be found in,Galerie des Machines,Michigan,Paris
2137,2137,{} worked in,"George Curzon, 1st Marquess Curzon of Kedleston",Hamburg,London
2138,2138,"{}, speaker of",Edwy Plenel,Russian,French
2139,2139,"{}, which is named after",GNU,Cleveland,Unix
2140,2140,"In {}, an official language is",European Union,English,Polish
2141,2141,The official language of {} is,Lohja,Persian,Swedish
2142,2142,"{}, who works for",Emily Maitlis,Boeing,BBC
2143,2143,"{}, performing on the",David Gates,guitar,violin
2144,2144,"{}, who has a citizenship from",Mari Hamada,Australia,Japan
2145,2145,{} plays in the position of,Chandler Harnish,midfielder,quarterback
2146,2146,"{}, whose position is that of",Frank T. Griswold,rabbi,bishop
2147,2147,"{}, by",Sumner Tunnel,BBC,Massachusetts
2148,2148,{} debuted on,The Danny Thomas Hour,CBS,NBC
2149,2149,"{}, which is located in",Kayunga District,Nigeria,Uganda
2150,2150,{} has a citizenship from,Julius Nwosu,Sweden,Nigeria
2151,2151,{} was born in,Auguste Cain,Milan,Paris
2152,2152,Which position does {} play? They play as,Johan Gastien,linebacker,midfielder
2153,2153,The language of {} is,Coup de Torchon,Tamil,French
2154,2154,"In {}, the language spoken is",Kirkkonummi,Polish,Finnish
2155,2155,"{}, founded in",Betsson,Seattle,Sweden
2156,2156,{} performs,Kane O'Hara,satire,opera
2157,2157,The capital of {} is,Kingdom of Bohemia,Santiago,Prague
2158,2158,{} was originally aired on,Presidio Med,ESPN,CBS
2159,2159,{} has a citizenship from,Kristy Sargeant,Japan,Canada
2160,2160,"{}, a product of",VoiceOver,Adobe,Apple
2161,2161,{} is headquartered in,Stop & Shop,Berlin,Quincy
2162,2162,{} premieres on,Westinghouse Desilu Playhouse,NBC,CBS
2163,2163,"{}, produced by",Toyota FCHV,Fiat,Toyota
2164,2164,The location of {} is,South Yemen insurgency,Singapore,Yemen
2165,2165,{} was native to,Carsten Dahl,London,Copenhagen
2166,2166,{}'s domain of activity is,Adriaan de Groot,physics,psychology
2167,2167,{} speaks the language,Jacques Rouffio,Tamil,French
2168,2168,"In {}, the language spoken is",American Samoa,Swedish,English
2169,2169,{} was created in,Timomatic,Poland,Australia
2170,2170,{} holds the position of,Thomas Vose Daily,cardinal,bishop
2171,2171,{} is created by,PowerFlite,Chevrolet,Chrysler
2172,2172,{}'s headquarters are in,Argo Tea,Toronto,Chicago
2173,2173,{} was named for,Cork Airport,Naples,Cork
2174,2174,{} is to debut on,2 Minute Drill,CBS,ESPN
2175,2175,The location of {} is,Cleveland International Film Festival,Istanbul,Cleveland
2176,2176,{} debuted on,Drop Dead Diva,CBS,Lifetime
2177,2177,The language of {} was,HuffPost,French,English
2178,2178,"{}, the",The Edge,piano,guitar
2179,2179,{} is a part of the,Italy national football team,UFO,FIFA
2180,2180,{} is located in,Kilby Island,Asia,Antarctica
2181,2181,{} is a,Angelo Sodano,cardinal,bishop
2182,2182,The language of {} is,Rajnigandha,Spanish,Hindi
2183,2183,{} worked in,Michael Gerard Bauer,Berlin,Brisbane
2184,2184,The law in {} declares the language,Kosovo,English,Serbian
2185,2185,"In {}, the language spoken is",Jambi,Finnish,Indonesian
2186,2186,"{}, in",Grand Union Canal,Minnesota,Berkshire
2187,2187,{}'s domain of activity is,William Crabtree,chemistry,astronomy
2188,2188,{} is affiliated with the religion,Suleiman the Magnificent,Judaism,Islam
2189,2189,The headquarter of {} is located in,P&O Cruises Australia,Boston,Southampton
2190,2190,{} is a member of,Afghanistan Football Federation,NATO,FIFA
2191,2191,{} spoke the language,Nicolas Giraud,Dutch,French
2192,2192,{}'s area of work is,rococo,manga,architecture
2193,2193,{} worked in,Theophil Hansen,Brisbane,Vienna
2194,2194,{} used to work in,Andy Burnham,Berlin,London
2195,2195,"{}, created in",Bloodshot Records,Liverpool,Chicago
2196,2196,{} works in the field of,Sydney Brenner,manga,biology
2197,2197,{} plays,George Gershwin,trumpet,piano
2198,2198,{} was founded in,Alabama Shakes,Tokyo,Athens
2199,2199,{} is located in,Zlatibor District,Minnesota,Serbia
2200,2200,{} works as,Ellar Coltrane,politician,actor
2201,2201,{} was released on,Friday Night Videos,CBS,NBC
2202,2202,"{}, who has the position of",Pietro Foscari,bishop,cardinal
2203,2203,{} is known for performing,Arnett Cobb,opera,jazz
2204,2204,"{}, that was created in",Sgt. Frog,Brazil,Japan
2205,2205,"{}, whose headquarters are in",Co-operative College,Seattle,Manchester
2206,2206,The headquarter of {} is located in,Cardiff University,Mumbai,Cardiff
2207,2207,"{}, produced by",Honda Legend,Dodge,Honda
2208,2208,"{}, which is located in",Hellenic Police,Germany,Greece
2209,2209,{} has the position of,Louis-Ernest Dubois,bishop,cardinal
2210,2210,{} is a citizen of,Pavol Demitra,Belgium,Slovakia
2211,2211,{} is in,The Gullet,Europe,Antarctica
2212,2212,"{}, that originated in",Namkeen,Indonesia,India
2213,2213,"{}, the",Mike Stratton,quarterback,linebacker
2214,2214,{} plays in the position of,Markus Halsti,quarterback,midfielder
2215,2215,{} is named after,North Holland,Belfast,Holland
2216,2216,{} was created by,MacPaint,Microsoft,Apple
2217,2217,The occupation of {} is,Candace Kita,politician,actor
2218,2218,"{}, in",Pennsylvania Route 198,Florida,Pennsylvania
2219,2219,The genre played by {} is,Hugo Weisgall,jazz,opera
2220,2220,The law in {} declares the language,Aceh,Chinese,Indonesian
2221,2221,{} holds the position of,Angelo Comastri,mayor,cardinal
2222,2222,{} died at,Albert Eulenburg,Madrid,Berlin
2223,2223,{} was developed in,Amazing Nurse Nanako,Australia,Japan
2224,2224,{} is located in the country of,Kamikita District,Honduras,Japan
2225,2225,"{}, that was formed in",Soulbender,Mobile,Seattle
2226,2226,The headquarter of {} is in,Singapore Bus Service,Tokyo,Singapore
2227,2227,The occupation of {} is,John Gawsworth,actor,poet
2228,2228,"{}, playing the",Manos Hatzidakis,trumpet,piano
2229,2229,{} is employed by,Leslie Megahey,McLaren,BBC
2230,2230,{} plays,Wadada Leo Smith,trance,jazz
2231,2231,{} is created by,Renault Wind,Dodge,Renault
2232,2232,{} was formed in,Los Bravos,Atlanta,Madrid
2233,2233,{} is a twin city of,Amsterdam,Rome,Athens
2234,2234,{}'s expertise is,chemical test,art,chemistry
2235,2235,{} plays in the position of,Claudio Marchisio,linebacker,midfielder
2236,2236,{} was originally from,Phyllis Lambert,Detroit,Montreal
2237,2237,"{}, who plays the position",Dan Morgan,quarterback,linebacker
2238,2238,The law in {} declares the language,Yerevan,Russian,Armenian
2239,2239,{} was released on,Second Verdict,NBC,BBC
2240,2240,"{}, who has the position of",Leonardo Sandri,cardinal,bishop
2241,2241,{} premiered on,Passions,CBS,NBC
2242,2242,{} worked in the city of,"Christopher Tugendhat, Baron Tugendhat",Berlin,London
2243,2243,"{}, whose position is that of",Venantius Fortunatus,pope,bishop
2244,2244,The language used by {} is,Jean-Pierre Petit,Italian,French
2245,2245,{} was a product of,MiniDisc,Microsoft,Sony
2246,2246,The language used by {} is,Christopher Dresser,Tamil,English
2247,2247,The headquarter of {} is in,Center for Jewish–Christian Understanding and Cooperation,Denver,Jerusalem
2248,2248,{} is located in,Ayn Halaqim Subdistrict,Canada,Syria
2249,2249,{} is created by,Porsche Cayenne,BMW,Porsche
2250,2250,What sport does {} play? They play,Jim Bunning,football,baseball
2251,2251,{} is owned by,iWork,Microsoft,Apple
2252,2252,{} was released on,"Magnum, P.I.",MTV,CBS
2253,2253,"{}, that was from",Inuyasha,Chad,Japan
2254,2254,{} originates from,Dmitri Nabokov,Baltimore,Berlin
2255,2255,The law in {} declares the language,Vallorbe,Chinese,French
2256,2256,The location of {} is,Movement for the Independence of Sicily,Uruguay,Sicily
2257,2257,{} writes in,Haim Ramon,Italian,Hebrew
2258,2258,"In {}, they understand",Kyōto Prefecture,Dutch,Japanese
2259,2259,{}'s expertise is,Menaechmus,psychology,geometry
2260,2260,The location of {} is,1996 Summer Olympics,Louisiana,Atlanta
2261,2261,The original language of {} was,The Book of the Courtier,French,Italian
2262,2262,{} specializes in,Harrie Massey,anatomy,physics
2263,2263,"{}, developed by",DC-3,Apple,Douglas
2264,2264,"{}, that was created in",fourme d'Ambert,Belgium,France
2265,2265,{} was created in,Lupo Alberto,England,Italy
2266,2266,{} is a native speaker of,Roger Coggio,Russian,French
2267,2267,{}'s area of work is,Aryabhata,mathematics,astronomy
2268,2268,The official language of {} is,Bernese Oberland,English,German
2269,2269,{} plays,Carlos Arroyo,soccer,basketball
2270,2270,"{}, that originated in",La Femme Nikita,Sweden,Canada
2271,2271,"{}, created by",Kindle Fire,Dodge,Amazon
2272,2272,{} is known for performing,Jonathan Coe,jazz,satire
2273,2273,"{}, that was started in",Alex Kapranos,Brisbane,Glasgow
2274,2274,{} was originally from,Carol Harrison,Berlin,London
2275,2275,{} speaks the language,Anton Pann,English,Romanian
2276,2276,The expertise of {} is,statistical model,sociology,statistics
2277,2277,{} is from,Yahoo! News,Paris,Yahoo
2278,2278,{} is a twin city of,Seoul,Athens,Sydney
2279,2279,"{}, a native",Alain Mabanckou,Swedish,French
2280,2280,{} speaks the language,Satyendra Nath Bose,Italian,English
2281,2281,{} is located in,Club Aurora,Bahrain,Bolivia
2282,2282,{} from,The Carnations,India,Canada
2283,2283,{} is known for performing,Bobby Hackett,sitcom,jazz
2284,2284,"In {}, they understand",Collective Security Treaty Organisation,Persian,Russian
2285,2285,{} speaks,Henry Kissinger,French,English
2286,2286,"{}, whose position is that of",George Hugh Niederauer,mayor,bishop
2287,2287,"{}, produced by",BMW 5 Series Gran Turismo,Ferrari,BMW
2288,2288,{} is a citizen of,John Mitchel,India,Ireland
2289,2289,{} plays the instrument,Gina Birch,piano,guitar
2290,2290,{} is in,Shire of Mount Alexander,Manitoba,Victoria
2291,2291,{} plays,Cheyenne Kimball,violin,guitar
2292,2292,{}'s profession is an,Daeg Faerch,mathematician,actor
2293,2293,{} plays in the position of,Mario Lessard,pitcher,goaltender
2294,2294,The occupation of {} is,Douglas Fowley,politician,actor
2295,2295,{} is originally from,John Feaver,Berlin,Fleet
2296,2296,"In {}, the language spoken is",Mistretta,Russian,Italian
2297,2297,{} is located in,Batterbee Mountains,Africa,Antarctica
2298,2298,{} writes in,Patrick J. Kennedy,Spanish,English
2299,2299,{} label :,The McGuire Sisters,Swan,Coral
2300,2300,{} was created in,Gayngs,Sweden,Minneapolis
2301,2301,{} was created in,Mosfilm,Milan,Moscow
2302,2302,The capital of {} is,Campania,Brussels,Naples
2303,2303,The twin city of {} is,Athens,Helsinki,Florence
2304,2304,{} is located in,Highland Light Infantry,Istanbul,Glasgow
2305,2305,"{}, a native",Joseph Conombo,Russian,French
2306,2306,What does {} play? They play,Dazz Band,sitcom,funk
2307,2307,{} is located in,World Youth Day 2002,Manila,Toronto
2308,2308,{} succumbed at,"Maurice Hankey, 1st Baron Hankey",Paris,London
2309,2309,The language used by {} is,Alfred Sutro,French,English
2310,2310,{} was originally aired on,The Wuzzles,History,CBS
2311,2311,What is the twin city of {}? It is,Milan,Montreal,Bethlehem
2312,2312,{} was founded in,myGRAIN,Seoul,Helsinki
2313,2313,{} performs on the,Peter Head,trumpet,piano
2314,2314,{} plays as,Pontus Wernbloom,outfielder,midfielder
2315,2315,{} belongs to the continent of,Gadag district,Africa,Asia
2316,2316,{} plays as,Odise Roshi,pitcher,midfielder
2317,2317,{} is follower of,Hyder Ali,Christianity,Islam
2318,2318,{}'s owner,Edmonton Gardens,Helsinki,Edmonton
2319,2319,{} plays,Ettore Panizza,jazz,opera
2320,2320,{} died in,Antonio Solario,London,Naples
2321,2321,The official religion of {} is,Radim Gaudentius,Islam,Christianity
2322,2322,"{}, which is located in",Clonlara GAA,Russia,Ireland
2323,2323,The headquarters of {} is in,Reading Company,Milan,Philadelphia
2324,2324,{} took up work in,Hasekura Tsunenaga,Paris,Rome
2325,2325,{} passed away in,Hjalmar Branting,London,Stockholm
2326,2326,{} is created by,Apple IIe Card,Ferrari,Apple
2327,2327,{} is in,2009 Shanghai Masters,London,Shanghai
2328,2328,{}'s profession is a,Malcolm MacDonald,mathematician,politician
2329,2329,{} is a twin city of,Lille,Moscow,Leeds
2330,2330,{} is in,Family Life Radio,Spain,Wisconsin
2331,2331,{} is written in,German Wikipedia,French,German
2332,2332,The language of {} was,Book of Haggai,English,Hebrew
2333,2333,{} writes in,Margaret Roper,Italian,English
2334,2334,{} plays the instrument,Alberto Nepomuceno,guitar,piano
2335,2335,{} is a native speaker of,Mathieu de Montmorency,Italian,French
2336,2336,{} owner,Stade de France,IBM,France
2337,2337,{} is located in,Swann Memorial Fountain,Gujarat,Philadelphia
2338,2338,{} passed away at,Francesco Curradi,Paris,Florence
2339,2339,"{}, created in",Bituin,Japan,Philippines
2340,2340,"{}, that was created in",Econoline Crush,Leeds,Vancouver
2341,2341,{} is in,2008 Kabul Serena Hotel attack,Newport,Kabul
2342,2342,The official language of {} is,Sierra Leone,Russian,English
2343,2343,{} plays as,Tim Hiller,midfielder,quarterback
2344,2344,The language used by {} is,Hans Nielsen Hauge,English,Norwegian
2345,2345,"{}, developed by",Renault Alpine A442,Airbus,Renault
2346,2346,"{}, from",1-UP Studio,Germany,Nintendo
2347,2347,"{}, a native",Olga Medvedtseva,French,Russian
2348,2348,{} is located in,Dennistoun Glacier,Europe,Antarctica
2349,2349,The original language of {} is,Pablo Honey,Hindi,English
2350,2350,{} succumbed at,Tony Ray-Jones,Vienna,London
2351,2351,{} lost their life at,Morteza Momayez,Atlanta,Tehran
2352,2352,The language of {} was,Van der Valk,French,English
2353,2353,The law in {} declares the language,Indore,Finnish,Hindi
2354,2354,"{}, who has a citizenship from",Mikael Rothstein,Canada,Denmark
2355,2355,{} holds a citizenship from,Bernardo Houssay,Algeria,Argentina
2356,2356,{} found employment in,Shaul Mofaz,Vermont,Jerusalem
2357,2357,{} was originally aired on,Trollkins,ESPN,CBS
2358,2358,"{}, of",Paul Otellini,IBM,Intel
2359,2359,"{}, which is located in",Bobolice,Thailand,Poland
2360,2360,{} plays in the position of,Ron Jaworski,midfielder,quarterback
2361,2361,{} is a citizen of,Kalevi Sorsa,Denmark,Finland
2362,2362,The twin city of {} is,Tirana,Hamburg,Moscow
2363,2363,{} is owned by,Google Ads,Sony,Google
2364,2364,{} premiered on,The A-Team,PBS,NBC
2365,2365,The original language of {} was,Roman de Gare,English,French
2366,2366,{} can be found in,Palazzo Contarini del Bovolo,California,Venice
2367,2367,What sport does {} play? They play,Alessandro Nesta,hockey,soccer
2368,2368,"{}, founded in",Secret Trial Five,Sweden,Vancouver
2369,2369,"{}, developed by",QuickTime,Intel,Apple
2370,2370,"{}, created by",Chrome OS,IBM,Google
2371,2371,The native language of {} is,Eduardo Duhalde,French,Spanish
2372,2372,"{}, who is employed by",John Inverdale,PBS,BBC
2373,2373,{} is in,2005 Southeast Asian Games,Normandy,Philippines
2374,2374,{} is a twin city of,Tel Aviv,Miami,Vienna
2375,2375,{} has a citizenship from,Sadeq Larijani,India,Iran
2376,2376,The original language of {} is,Star Trek: Generations,Tamil,English
2377,2377,{} from,Lancashire wrestling,France,England
2378,2378,{} is a,John XIX,bishop,pope
2379,2379,"{}, the",Idrees Sulieman,violin,trumpet
2380,2380,"{}, that originated in",Grenache Blanc,Canada,Spain
2381,2381,"In {}, they understand",Sweden,German,Finnish
2382,2382,{}'s profession is a,Ledisi,programmer,actor
2383,2383,{} plays in the position of,D'Qwell Jackson,goaltender,linebacker
2384,2384,{} was released on,Big Blue Marble,CBS,PBS
2385,2385,"{}, who is a citizen of",Sunidhi Chauhan,Argentina,India
2386,2386,{} was originally aired on,Green Acres,NBC,CBS
2387,2387,"{}, the",Steven Nzonzi,linebacker,midfielder
2388,2388,{} is created by,Lexus LF,Ferrari,Toyota
2389,2389,"{}, located in","Barnhartvale, Kamloops",Iran,Canada
2390,2390,{} was released on,Planet Forward,MTV,PBS
2391,2391,Where is {}? It is located in,Saint-Domingue expedition,Arizona,Haiti
2392,2392,{} speaks,Karan Razdan,English,Hindi
2393,2393,"{}, who has a citizenship from",Sharanjit Leyl,India,Singapore
2394,2394,{} is called after,Jupiter,Moscow,Jupiter
2395,2395,The headquarter of {} is in,The Manila Times,Wilmington,Manila
2396,2396,"{}, who is a citizen of",Louis Appia,Japan,Switzerland
2397,2397,The language used by {} is,Bernardino Ochino,English,Italian
2398,2398,"{}, the",Francisco Liriano,linebacker,pitcher
2399,2399,{} is in,Neumayer Cliffs,Asia,Antarctica
2400,2400,"{}, from",Opeth,Italy,Sweden
2401,2401,{} spoke the language,Menno ter Braak,French,Dutch
2402,2402,{} has a citizenship from,Carrera family,Sweden,Chile
2403,2403,What does {} play? They play,Ken Vandermark,opera,jazz
2404,2404,The native language of {} is,Alex Ferguson,Swedish,English
2405,2405,"{}, a citizen of",Ivan Koloff,France,Canada
2406,2406,{} is a product of,AGM-86 ALCM,Apple,Boeing
2407,2407,Where is {}? It is located in,Boston Massacre,Melbourne,Boston
2408,2408,The genre played by {} is,"Louis Cottrell, Jr.",funk,jazz
2409,2409,{} debuted on,CBS Evening News,PBS,CBS
2410,2410,{} is originally from,Peter Lassally,Philadelphia,Hamburg
2411,2411,The occupation of {} is,Resham Tipnis,composer,actor
2412,2412,{}'s headquarters are in,Liquor Control Board of Ontario,Seattle,Toronto
2413,2413,The language of {} was,CGTN Spanish,Korean,Spanish
2414,2414,{} performs,Herbie Hancock,fantasy,funk
2415,2415,"{}, who has a citizenship from",Meiert Avis,Pakistan,Ireland
2416,2416,Where is {}? It is located in,2SM,Bangalore,Sydney
2417,2417,{} writes in,Louise Lawler,Italian,English
2418,2418,{} was native to,Melinda Czink,Montreal,Budapest
2419,2419,{} premieres on,The Dennis Day Show,CBS,NBC
2420,2420,{} is follower of,Abū Muhammad al-Hasan al-Hamdānī,Scientology,Islam
2421,2421,{} professionally plays the sport,Ryan Smyth,football,hockey
2422,2422,{} plays in the position of,Mo Lewis,defender,linebacker
2423,2423,{} debuted on,Miss Susan,CBS,NBC
2424,2424,"{}, who plays",Flying Dutchman Records,opera,jazz
2425,2425,"{}, that originated in",Ostava,Kenya,Bulgaria
2426,2426,{} plays in the position of,Edmondo Fabbri,pitcher,midfielder
2427,2427,"{}, developed by",Honda CRF series,Apple,Honda
2428,2428,{} is a native speaker of,Jean-Sifrein Maury,Russian,French
2429,2429,What is the twin city of {}? It is,Florence,Valencia,Edinburgh
2430,2430,{} was native to,Mechell,Detroit,Wales
2431,2431,What does {} play? They play,Chess Records,fantasy,jazz
2432,2432,What does {} play? They play,Pan Ron,opera,jazz
2433,2433,{} can be found in,Industrial Design Centre,Oregon,Mumbai
2434,2434,{} is follower of,David Miscavige,Buddhism,Scientology
2435,2435,{} originated in,Slint,Chicago,Kentucky
2436,2436,The twin city of {} is,Chicago,Havana,Delhi
2437,2437,{} performs,Landmark Records,opera,jazz
2438,2438,"{}, that was created in",Kibera Kid,Canada,Kenya
2439,2439,The domain of work of {} is,Nicolaus Copernicus,medicine,mathematics
2440,2440,{} is located in the country of,Norfolk Air,Malta,Australia
2441,2441,{} is in,South Pole Traverse,Asia,Antarctica
2442,2442,{} is native to,Leroy Wallace,Nottingham,Jamaica
2443,2443,"In {}, an official language is",Benelux,Chinese,French
2444,2444,The language of {} is,"Black God, White Devil",Russian,Portuguese
2445,2445,The language of {} was,Caro diario,Tamil,Italian
2446,2446,"{}, that was formulated in",reggae,Japan,Jamaica
2447,2447,The official language of {} is,Brunei,Finnish,English
2448,2448,The native language of {} is,Giuseppe Saronni,French,Italian
2449,2449,{} speaks the language,Ivano Staccioli,English,Italian
2450,2450,{} died in the city of,Yiannis Latsis,Munich,Athens
2451,2451,"{}, who works as",Joan Marion,chemist,actor
2452,2452,"{}, produced by",Dodge Daytona,Bentley,Dodge
2453,2453,{} was formed in,The Hampdens,Chicago,Perth
2454,2454,"{}, whose position is that of",Magnus Felix Ennodius,mayor,bishop
2455,2455,{} holds a citizenship from,Philip Hellquist,Austria,Sweden
2456,2456,"{}, who has a citizenship from",Jaafar of Negeri Sembilan,Switzerland,Malaysia
2457,2457,The law in {} declares the language,Kaustinen,Hindi,Finnish
2458,2458,{} debuted on,Screen Directors Playhouse,HBO,NBC
2459,2459,{} speaks the language,Christiern Pedersen,Spanish,Danish
2460,2460,{} belongs to the organization of,United States of America,FIFA,NATO
2461,2461,The original language of {} is,Voir,English,French
2462,2462,"{}, a product manufactured by",Windows NT 3.51,IBM,Microsoft
2463,2463,The headquarter of {} is located in,Jim Beam,Malaysia,Chicago
2464,2464,{} is in,Mount Passel,Europe,Antarctica
2465,2465,The mother tongue of {} is,Michel-Jean Sedaine,Russian,French
2466,2466,"{}, who plays",Super8 & Tab,jazz,trance
2467,2467,{} is located in the country of,Sakarya Province,Poland,Turkey
2468,2468,{} debuted on,Soapstar Superstar,CBS,ITV
2469,2469,{} is in,Mount Kempe,Europe,Antarctica
2470,2470,"{}, that was developed in",Sovetskoye Shampanskoye,India,Belarus
2471,2471,"In {}, the language spoken is",North Carolina,Finnish,English
2472,2472,"{}, who plays the position",Giacomo Tedesco,goaltender,midfielder
2473,2473,{} is within,Lycoming College,Massachusetts,Pennsylvania
2474,2474,The language of {} was,The Truce,English,Italian
2475,2475,"{}, named after",aristotelianism,Philadelphia,Aristotle
2476,2476,{} is a product of,Toyota Sprinter Marino,Nissan,Toyota
2477,2477,The language used by {} is,Rosanna Fratello,Hebrew,Italian
2478,2478,"{}, which is located in",Zwiefalten,Greece,Germany
2479,2479,{} is located in,Bertha Island,Africa,Antarctica
2480,2480,"{}, that was from",Brice de Nice,Japan,France
2481,2481,{} speaks the language,Mauro Zani,French,Italian
2482,2482,{} is located in,Narman,Egypt,Turkey
2483,2483,{} worked in the city of,Samuel Schmid,Warsaw,Bern
2484,2484,"{}, created in",The War in Space,India,Japan
2485,2485,{} is headquartered in,Famous Players Film Company,Milan,Hollywood
2486,2486,{} has the position of,Peter Kodwo Appiah Turkson,pope,cardinal
2487,2487,"{}, created by",Toyota Camry XV40,Chevrolet,Toyota
2488,2488,{} was started in,Cool & Dre,Seattle,Miami
2489,2489,The headquarter of {} is in,Diabetes UK,Barcelona,London
2490,2490,{} premiered on,The Osbournes,ESPN,MTV
2491,2491,"{}, who has the position of",Giovanni Battista Re,pastor,bishop
2492,2492,"{}, from",Bundesautobahn 61,Louisiana,Germany
2493,2493,{} was released on,Family Affair,NBC,CBS
2494,2494,The native language of {} is,Eugene Kaspersky,Dutch,Russian
2495,2495,The law in {} declares the language,Bolivia,Finnish,Spanish
